img	ruler pixel/cm
IMG_20150416_085507.png	278.217936
IMG_20150420_083807.png	272.868925
IMG_20150629_180123.png	255.148369
IMG_20150629_180131.png	207.757960
IMG_20150701_173453.png	203.873122
IMG_2567.png	73.907239
IMG_2572.png	142.867771
IMG_2736.png	192.123944
IMG_3012.png	235.438739
IMG_3161.png	212.000849
IMG_3173.png	188.153820
IMG_3194.png	101.444369
IMG_3200.png	273.302634
IMG_3201.png	289.201400
IMG_3203.png	114.027541
IMG_3207.png	255.711463
IMG_3227.png	165.945835
IMG_3266.png	154.829067
IMG_3301.png	194.700924
IMG_3333.png	173.849159
IMG_3381.png	235.829430
IMG_3412.png	213.061048
IMG_3413.png	202.571987
IMG_3416.png	221.198486
IMG_3428.png	165.708660
IMG_3429.png	163.105671
IMG_3444.png	211.902808
IMG_3446.png	220.431622
IMG_3601.png	246.629925
IMG_3756.png	241.415575
IMG_4143.png	133.527301
IMG_4201.png	140.936440
IMG_4324.png	229.690313
IMG_4325.png	148.073630
IMG_4337.png	178.826424
IMG_4358.png	198.011136
IMG_4374.png	183.117995
IMG_4379.png	213.728145
IMG_4389.png	253.082141
IMG_4391.png	249.458453
IMG_4392.png	283.615691
IMG_4425.png	159.175940
IMG_4548.png	203.471669
IMG_4594.png	123.003293
IMG_4613.png	235.167090
IMG_4626.png	217.259867
IMG_4637.png	158.091746
IMG_4641.png	249.011566
IMG_4670.png	156.131227
IMG_4694.png	114.246444
IMG_4741.png	222.507191
IMG_4776.png	134.710653
IMG_4780.png	212.746798
IMG_4839.png	153.437675
IMG_4861.png	171.344390
IMG_4955.png	265.638947
IMG_5024.png	202.477456
IMG_5030.png	173.458381
IMG_5242.png	76.290090
IMG_5276.png	204.663553
IMG_5338.png	171.321277
IMG_5459.png	106.527039
IMG_6833.png	142.501088
IMG_9870.png	120.053988
JPGI2787.png	32.175301
KFHJ2895.png	72.749311
PIC_20150713_084918_236.png	157.243378
PIC_20150930_112213_108.png	154.090525
PIC_20151015(0.3-0.6qianxing.png	268.322288
PIC_20151018_082048_DE2.png	31.173582
PIC_20151019_132501_C43.png	34.928248
PIC_20151021_112013_98C.png	177.502366
PIC_20151024_085053_D6E.png	234.604774
